Source,Target,Weight
P2,P2,0
P2,P15,11
P2,P18,10
P2,P14,5
P2,P16,7
P2,P8,7
P2,R1,32
P2,P4,10
P2,P21,2
P2,P9,0
P2,P6,8
P2,P13,2
P2,P11,1
P2,P5,2
P2,P1,2
P2,P10,3
P2,P12,1
P2,P19,5
P2,P20,1
P2,P3,2
P2,P17,3
P2,P7,0
P15,P2,3
P15,P15,2
P15,P18,8
P15,P14,31
P15,P16,20
P15,P8,22
P15,R1,43
P15,P4,41
P15,P21,4
P15,P9,9
P15,P6,25
P15,P13,15
P15,P11,0
P15,P5,6
P15,P1,23
P15,P10,4
P15,P12,5
P15,P19,12
P15,P20,5
P15,P3,11
P15,P17,9
P15,P7,1
P18,P2,11
P18,P15,12
P18,P18,0
P18,P14,14
P18,P16,2
P18,P8,0
P18,R1,14
P18,P4,3
P18,P21,0
P18,P9,0
P18,P6,1
P18,P13,1
P18,P11,0
P18,P5,3
P18,P1,1
P18,P10,1
P18,P12,4
P18,P19,3
P18,P20,0
P18,P3,0
P18,P17,0
P18,P7,0
P14,P2,5
P14,P15,9
P14,P18,8
P14,P14,1
P14,P16,5
P14,P8,2
P14,R1,14
P14,P4,36
P14,P21,0
P14,P9,7
P14,P6,3
P14,P13,3
P14,P11,0
P14,P5,1
P14,P1,0
P14,P10,0
P14,P12,0
P14,P19,3
P14,P20,0
P14,P3,0
P14,P17,0
P14,P7,2
P16,P2,4
P16,P15,12
P16,P18,2
P16,P14,9
P16,P16,1
P16,P8,1
P16,R1,1
P16,P4,6
P16,P21,0
P16,P9,1
P16,P6,0
P16,P13,5
P16,P11,0
P16,P5,1
P16,P1,0
P16,P10,0
P16,P12,3
P16,P19,2
P16,P20,0
P16,P3,1
P16,P17,0
P16,P7,0
P8,P2,0
P8,P15,16
P8,P18,0
P8,P14,1
P8,P16,2
P8,P8,0
P8,R1,4
P8,P4,1
P8,P21,0
P8,P9,1
P8,P6,8
P8,P13,2
P8,P11,0
P8,P5,0
P8,P1,1
P8,P10,0
P8,P12,3
P8,P19,0
P8,P20,0
P8,P3,0
P8,P17,0
P8,P7,0
R1,P2,45
R1,P15,78
R1,P18,22
R1,P14,34
R1,P16,5
R1,P8,7
R1,R1,4
R1,P4,64
R1,P21,8
R1,P9,17
R1,P6,27
R1,P13,1
R1,P11,16
R1,P5,28
R1,P1,0
R1,P10,17
R1,P12,1
R1,P19,10
R1,P20,0
R1,P3,0
R1,P17,0
R1,P7,0
P4,P2,2
P4,P15,25
P4,P18,2
P4,P14,23
P4,P16,9
P4,P8,0
P4,R1,51
P4,P4,1
P4,P21,1
P4,P9,0
P4,P6,8
P4,P13,3
P4,P11,0
P4,P5,6
P4,P1,0
P4,P10,1
P4,P12,1
P4,P19,8
P4,P20,0
P4,P3,3
P4,P17,4
P4,P7,5
P21,P2,3
P21,P15,2
P21,P18,0
P21,P14,1
P21,P16,0
P21,P8,0
P21,R1,1
P21,P4,0
P21,P21,0
P21,P9,0
P21,P6,0
P21,P13,0
P21,P11,0
P21,P5,1
P21,P1,0
P21,P10,0
P21,P12,0
P21,P19,0
P21,P20,0
P21,P3,0
P21,P17,2
P21,P7,0
P9,P2,2
P9,P15,12
P9,P18,0
P9,P14,9
P9,P16,1
P9,P8,0
P9,R1,14
P9,P4,0
P9,P21,0
P9,P9,0
P9,P6,0
P9,P13,0
P9,P11,0
P9,P5,4
P9,P1,0
P9,P10,0
P9,P12,0
P9,P19,0
P9,P20,0
P9,P3,0
P9,P17,0
P9,P7,0
P6,P2,3
P6,P15,12
P6,P18,1
P6,P14,2
P6,P16,0
P6,P8,9
P6,R1,10
P6,P4,4
P6,P21,0
P6,P9,1
P6,P6,0
P6,P13,2
P6,P11,2
P6,P5,0
P6,P1,3
P6,P10,0
P6,P12,0
P6,P19,0
P6,P20,0
P6,P3,0
P6,P17,2
P6,P7,0
P13,P2,7
P13,P15,11
P13,P18,2
P13,P14,0
P13,P16,7
P13,P8,3
P13,R1,1
P13,P4,0
P13,P21,1
P13,P9,0
P13,P6,5
P13,P13,0
P13,P11,0
P13,P5,0
P13,P1,1
P13,P10,0
P13,P12,0
P13,P19,0
P13,P20,0
P13,P3,0
P13,P17,3
P13,P7,0
P11,P2,0
P11,P15,0
P11,P18,0
P11,P14,0
P11,P16,0
P11,P8,0
P11,R1,18
P11,P4,0
P11,P21,0
P11,P9,0
P11,P6,2
P11,P13,0
P11,P11,0
P11,P5,0
P11,P1,0
P11,P10,4
P11,P12,0
P11,P19,0
P11,P20,0
P11,P3,0
P11,P17,0
P11,P7,0
P5,P2,1
P5,P15,9
P5,P18,1
P5,P14,1
P5,P16,3
P5,P8,0
P5,R1,8
P5,P4,3
P5,P21,2
P5,P9,1
P5,P6,1
P5,P13,0
P5,P11,0
P5,P5,1
P5,P1,0
P5,P10,0
P5,P12,0
P5,P19,0
P5,P20,0
P5,P3,0
P5,P17,0
P5,P7,0
P1,P2,0
P1,P15,15
P1,P18,1
P1,P14,0
P1,P16,0
P1,P8,1
P1,R1,0
P1,P4,0
P1,P21,0
P1,P9,0
P1,P6,3
P1,P13,0
P1,P11,0
P1,P5,0
P1,P1,0
P1,P10,0
P1,P12,0
P1,P19,1
P1,P20,0
P1,P3,0
P1,P17,0
P1,P7,0
P10,P2,4
P10,P15,3
P10,P18,0
P10,P14,0
P10,P16,0
P10,P8,0
P10,R1,0
P10,P4,0
P10,P21,0
P10,P9,0
P10,P6,0
P10,P13,0
P10,P11,2
P10,P5,0
P10,P1,0
P10,P10,0
P10,P12,0
P10,P19,0
P10,P20,0
P10,P3,0
P10,P17,0
P10,P7,0
P12,P2,0
P12,P15,1
P12,P18,0
P12,P14,0
P12,P16,0
P12,P8,0
P12,R1,0
P12,P4,0
P12,P21,0
P12,P9,0
P12,P6,0
P12,P13,0
P12,P11,0
P12,P5,0
P12,P1,0
P12,P10,0
P12,P12,0
P12,P19,2
P12,P20,0
P12,P3,0
P12,P17,0
P12,P7,0
P19,P2,3
P19,P15,12
P19,P18,1
P19,P14,2
P19,P16,1
P19,P8,0
P19,R1,8
P19,P4,10
P19,P21,1
P19,P9,0
P19,P6,0
P19,P13,0
P19,P11,0
P19,P5,1
P19,P1,0
P19,P10,0
P19,P12,0
P19,P19,3
P19,P20,0
P19,P3,0
P19,P17,0
P19,P7,0
P20,P2,0
P20,P15,1
P20,P18,0
P20,P14,0
P20,P16,0
P20,P8,0
P20,R1,0
P20,P4,0
P20,P21,0
P20,P9,3
P20,P6,0
P20,P13,0
P20,P11,0
P20,P5,0
P20,P1,0
P20,P10,0
P20,P12,0
P20,P19,0
P20,P20,0
P20,P3,0
P20,P17,0
P20,P7,0
P3,P2,0
P3,P15,6
P3,P18,0
P3,P14,0
P3,P16,0
P3,P8,1
P3,R1,0
P3,P4,1
P3,P21,0
P3,P9,1
P3,P6,0
P3,P13,0
P3,P11,0
P3,P5,0
P3,P1,0
P3,P10,0
P3,P12,0
P3,P19,0
P3,P20,1
P3,P3,0
P3,P17,0
P3,P7,0
P17,P2,1
P17,P15,8
P17,P18,0
P17,P14,0
P17,P16,1
P17,P8,1
P17,R1,0
P17,P4,2
P17,P21,2
P17,P9,0
P17,P6,6
P17,P13,1
P17,P11,0
P17,P5,0
P17,P1,0
P17,P10,0
P17,P12,0
P17,P19,0
P17,P20,0
P17,P3,0
P17,P17,0
P17,P7,6
P7,P2,0
P7,P15,0
P7,P18,0
P7,P14,2
P7,P16,0
P7,P8,0
P7,R1,0
P7,P4,5
P7,P21,0
P7,P9,0
P7,P6,0
P7,P13,0
P7,P11,0
P7,P5,0
P7,P1,0
P7,P10,0
P7,P12,0
P7,P19,0
P7,P20,0
P7,P3,0
P7,P17,13
P7,P7,0
